,Country,Currency,Average_Cost,Average_Hotel_1p,Average_Hotel_double,Average_Food_Cost,Average_Transport_Cost,Average_Entertainment_Cost,Average_Tip_Cost,Average_Scam_Cost,Average_Alcohol_Cost,Average_Water_Cost,Description
114,Liberia,LRD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Liberia On a Budget 
115,Lesotho,LSL,922,329,657,417,146,223,NA,NA,63,NA, Lesotho On a Budget Lesotho Lesotho is a unique little country made mostly of mountains and completely surrounded by South Africa Known as the Kingdom in the Sky because of its high altitude it has the highest lowest point of any country in the world It is crisscrossed by a network of rivers and mountains with opportunities for seeing beautiful waterfalls impressive cave dwellings rock art dinosaur footprints and the ruins of a 19th century kingdom At A Glance Maseru is the capital city of Lesotho located on its northwestern border with South Africa As far as attractions go the city is more of a home base for expeditions and travels deeper into the country Hlotse also known as Leribe is located a bit further north and serves as a regional market hub a great place for craft shopping and stocking up before venturing into the Highlands Teyateyaneng is another important market for locally made crafts while Quthing in the south is known to be near impressive rock and cave art of the San people As far as the landscape goes Lesotho s topography changes from lowlands in the west to foothills and then mountains which make up most of the country s eastern half Then there is also the Senqu River Valley at the junction of the Makhaleng and Orange rivers in the south Lesotho s high altitude and rugged terrain draw many visitors for outdoor activities especially hiking Hiking in the country s highlands is not for the inexperienced and having a guide is preferable The Department of Tourism can find you a guide who can then navigate the way often staying in remote villages overnight Guided trekking and climbing in the Maluti Drakensberg mountains is another common venture which can be planned through GoVertical Mountaineering Adventures If trekking on foot is not what you have in mind pony trekking is also available at either Malealea Semonkong or at the Basotho Pony Trekking Centre It s a great way to see the Lesotho countryside as the ponies can navigate where the cars cannot through far off villages and steep mountainsides When wintertime does come the slopes at Oxbow are also well frequented by visitors RelatedLooking for a hostel in Marrakesh Cape Town Nairobi or Zanzibar Top Tourist Attractions The striking landscape of Lesotho s highlands is truly one of the top attractions in the country As mentioned earlier one can see the rugged countryside on foot bicycle or by pony The mountains are grand enough but there are also a few hidden gems nestled within them Sani Pass The high road up to Sani Top is the highest pass in South Africa and crosses the border between S A and Lesotho This is a great trip to make because of the stunning views rugged terrain and physical challenge Read this great article about taking a road trip to Sani Pass Lesotho Kome Caves Built by the Basotho people to hide from cannibals these impressive cave dwellings are a sight not to be missed They are located about an hour s drive from Maseru in the Berea district Maletsunyane Semonkong Falls Located near the small town of Semonkong in central Lesotho these falls drop 200 meters in one great plunge In the summertime the pond that lies below is popular for swimming while in the winter the waterfall freezes into a single column Rock Art and Dinosaur footprints Evidence of prehistoric times lies preserved in the landscape of Lesotho as well The most accessible of the dinosaur footprints can be seen near the towns of Moyeni and Morija while some of the most impressive rock art can be found within Liphofung Cave Popular Foods Cuisine of the Basotho people is ingrained in African tradition with some British influences as well It also tends to share certain culinary practices with its neighbor South Africa with ingredients largely consisting of potato seafood rice vegetables and corn based dishes Most dishes contain sauces though less spicy than other countries in Africa and beetroot salad is a common side dish Oxtail stews peanut stews curries and kabobs are also very traditional Ginger beer local brews and ting or fermented porridge are popular beverages Mieliepap A traditional porridge or polenta made from mielie meal a ground maize Different variations have different consistencies and textures like the smooth slap pap the thicker stywe pap and the more crumbly phuthu pap The pap is usually accompanied by savories like green vegetables flavored with chili or served with meat and a kind of tomato stew It is also a common breakfast staple usually eaten with milk butter and sugar recipe here Transportation By plane Moshoeshoe I International Airport serves the capital city of Maseru South African Airways and Airlink operate daily flights between Maseru and Johannesburg It is important to arrange a taxi in advance as there are none at the airport As Losotho is surrounded on all sides by South Africa by car you will be entering from South Africa The major border posts are Caledonspoort Ficksburg Bridge Makhaleng Bridge Maseru Bridge Ngoangoma Gate Peka Bridge Qacha s Nek Ramatseliso s Gate Sani Pass Sephaphos Gate Tele Bridge and Van Rooyen s Gate Be aware that gas is scarce and the terrain may be rugged By bus Vaal Maseru runs a coach service between Johannesburg and Maseru 
116,Lithuania,EUR,67,33,65,27,595,716,103,NA,499,62, Lithuania On a Budget The Hill of Crosses Siauliai Lithuania although a very small country has much to offer From the old world charm of its capital city Vilnius to the beautiful rural coastline around Nida you can really relax and make yourself at home in this quaint country It is a small Baltic country in Northern Europe that touches the Baltic Sea to the west and Lativa to the North It is also bordered by Belarus Poland and Russia Kaliningrad Lithuania can be divided into five different regions which have their own unique differences and personalities Aukstaitija is in the northeast and has highlands and natural beauty Zemaitija is in the northwest and offers a fascinating culture as well as the Hill of Crosses The capital city of Vilnius is located in Dzukija which is to the south and Suduva is to the southwest Lithuania Minor is along the coastline and offers impressive sand dunes and coastal towns Given its small size the country has a lot to offer visitors There are many religiously significant sites that attract pilgrims from all over the world There are also impressive natural settings quaint small towns and vibrant cities and university towns that provide fun settings in which you can relax There are plenty of places to go if you enjoy shopping in Lithuania There are many different shopping centers around and on weekends you may find some open air markets Gariunai is the Baltic s largest open air market and it is found just to the west of Vilnius There are many different vendors there from not only Lithuania but also countries as far away as the Ukraine Basketball is a favorite sport among many Lithuanians It makes up an interesting part of the country s history and has always been a source of national pride They are a basketball powerhouse and if the opportunity presents itself to attend a game this can be a fun and unique experience At A GlancePrices in Lithuania are low compared to Western Europe and even some countries in Eastern Europe Train travel is a popular option and tickets are much more affordable than they are in Western Europe Litrail provides service to the major cities and they offer both seating and sleeping cars although most trips are relatively short Buses are a convenient way to travel around the country They stop frequently so trips may take longer than you originally anticipate There are several different companies of varying quality that offer travel between the cities Inquire into the reliability of and efficiency of the bus company before you purchase tickets The official language of Lithuania is Lithuanian Russian is a common second language and about eighty percent of the the population speaks it The younger population is learning English more frequently but it still remains uncommon Some people also speak German Accommodation throughout Lithuania can vary dramatically in price and style It remains cheaper than accommodation in Western Europe and if you travel during the low or shoulder seasons you will save even more money In smaller towns and rural areas it may be difficult to find accommodation during the winter months as they generally expect few tourists during those times Lithuania has an interesting history and culture of which they take much pride Make a point of visiting the small towns wooden churches and quaint settings so that you can fully appreciate this culture If there are local festivals going on then these present the perfect opportunity to fully experience the everything that this country and its friendly people have to offer Related Traveling alone to Moscow St Petersburg Stockholm or Riga and need a hostel Looking for a party in Copenhagen or Tallinn Looking for budget hostels in Scandinavia Find a Contiki tour to Europe Top Tourist Attractions Hill of Crosses The Hill of Crosses is located just a few kilometers from the city of Siauliai This is an impressive pilgrimage site that has more than 100 000 crosses of all sizes Each cross has been put on the hill by religious pilgrims who have made the trip Curonian Split This World Heritage Site divides the Curonian Lagoon and the Baltic Sea It is also shared by both Russia and Lithuania and can be reached from the city of Klaipeda People visit the area for its coastal feel and the impressive sand dunes Aukstaitija National Park This is one of the most popular national parks in the country In it you will find elk deer and wild boar as well as many plants and birds that are endangered There are also 126 lakes and numerous streams that make this a great place for water sports when the weather is appropriate Popular Foods Lithuanian cuisine is hearty in nature in part due to the area s cold climate It features items typical of a cold environment such as barley potatoes rye beets greens berries and mushrooms Dairy products are also popular throughout the country The food is similar to that found in other Eastern European countries but there is a unique local twist on most dishes Kugelis This Lithuanian dish is a potato pudding that is made from grated potatoes and eggs It is served with sour cream and spirgai Blynai Although blynai are often described as pancakes they are usually more similar to crepes because they are quite thin and are often mixed with fillings such as apples potato meat or mushrooms They can be either sweet or savory in nature Koldunai These are a variation of Lithuanian dumplings They are generally filled with things such as minced meat sausage cottage cheese or mushrooms and can be topped with crumbled bacon They are similar to Polish pierogi but smaller in size 
117,Luxembourg,EUR,147,71,142,64,10,867,NA,35,895,NA, Luxembourg On a Budget Luxembourg Luxembourg is a completely landlocked country located in the Benelux It is bordered by Belgium France and Germany It s location make it a mixing bowl of the Germanic and Latin cultures Luxembourg is the only remaining grand duchy in the world A grand duchy also referred to as a grand dukedom is a territory that is headed by a monarch who is either a grand duke or grand duchess Luxembourg is also the second smallest state in the European Union The economy in Luxembourg is based on steel finance and technology This economy thrives in part because of its location in the middle of Western Europe near many influential economies It is one of the top three richest countries in the world and the cost of living and travel expenses reflect this The country also packs a surprising amount of natural beauty into its small space making it a fascinating and fun place to visit The climate in Luxembourg is similar to that found in nearby countries Winters may be mild but January and February are the coldest months and temperatures can fall to 15 degrees Celsius Summer can be quite hot with July and August being the hottest months It is not uncommon for temperatures to reach about 30 degrees Celsius Summer is the peak season for travel but the most comfortable times to visit is during the spring and fall months Luxembourg s National Day is on June 23rd Luxembourgs terrain is mostly made up of gently rolling hills and valleys The northern area becomes slightly mountainous and there is a steep slope down to Moselle flood plain in the south At A GlanceBecause Luxembourg is such a compact country you can generally reach any destination from the capital in under an hour Train coverage is quite comprehensive in the south but the north is limited to only on main line that runs from Luxembourg City to Mersch Ettelbruck Wilverwiltz Clervaux and Troisvierges and on into Belgium A comprehensive and reliable bus service is available within the city and the most useful line for tourists is 16 which connects the town to the airport via Kirchberg The 18 connects the town to Kirchberg and Auchan Bus tickets are also valid on the train and vice versa You can purchase them from the driver and they are valid for up to 2 hours All day tickets are also available Luxembourgish is the national language of the country but French is the administrative language Luxembourgish evolved from the German dialect and shares many similarities German is commonly heard in the media in the court system and throughout the region It is also taught in schools Road signs menus and information centers usually offer information in French but German is the most common in the region that borders Germany Luxembourgs currency is the Euro Every country on the euro issues its own coins which are valid throughout the eurozone Luxembourgish coins are among the rarest of the euro coins even in Luxembourg itself so if you stumble upon one it s worth holding on to as a collectable or simply a souvenir of your trip The young population generally drinks local or imported beer and there are a decent number of breweries around The most popular are Diekirch Bofferding Battin and Mousel White wines that are common in the Moselle Valley include Riesling Pinot Gris Pinot Blanc Rivaner and Elbling among others Related Looking for a party Find a hostel in Amsterdam London or Paris Traveling alone to Brussels Find a Contiki tour to Europe Top Tourist Attractions City of Luxembourg This historic city is a must see The old town has a large number of sites including the Gothic Revival Cathedral of Notre Dame the town fortifications and the Grand Ducal Palace Several areas in the old town are UNESCO World Heritage Sites and the cobbletoned streets historic architecture and impressive setting high on a cliff all make the city a unique place to visit Echternach This is the oldest city in Luxembourg and is also home to the basilica of the Abbey of Echternach This is where the patron saint of Willibrord is buried Echternach is also perfectly located to serve as a base for exploring Mullerthal There are plenty of places to hike bike and explore Vianden This village has the medieval Beaufort castle which is a popular destination for tourists It can get quite crowded in the summer but is well worth a visit as it is nicely situated within the forest near a lake with swans The fairy tale setting make it a romantic and beautiful place to wander Popular Foods Luxembourg cuisine includes large amounts of pork and potatoes It is heavily influenced by the cuisines of Germany and central Europe but French pastries are common throughout as well Local restaurant often have French entrees available and Italian food is often available at any of the many Italian restaurants Judd Mat Gaardebounen This is the unofficial national dish of Luxembourg It is smoked pork neck that is served with boiled broad beans and often has potatoes on the side It goes perfectly with a local beer on the side Gromperekichelchen Translated to mean Potato Biscuits this dish is a fried shredded potato cake It is made with onions shallots and parsley and is commonly served at outdoor events such as fairs festivals or markets It makes for an excellent snack on a cold winter day Eisleker Ham This ham is served cold and common in the mountainous northern region The ham is marinated for several weeks before it is smoked for a few days It is sliced thinly and served with chipped potatoes and salad 
118,Latvia,EUR,52,25,49,19,297,464,NA,NA,710,192, Latvia On a Budget Riga Latvia is one of the three small countries that make up the Baltics It is bordered to the north by Estonia and to the south by Lithuania and it sits along the Baltic Sea It is influenced by its maritime culture and you will find seafood prolific in the cuisine There are some interesting coastal communities that offers a glimpse into small town life in this quaint and beautiful country Many people head to Riga the country s vibrant capital city but if you want to see more of the area head into the countryside and find some small towns to explore This is where you ll see daily life and small town culture at its finest This area has seen a dramatic increase in popularity among travelers in recent years It has become a more well known destination both inside and outside of Europe Thanks to the affordable flights offered by Air Baltic many travelers find themselves with at least a day layover in Riga when they are traveling elsewhere in Europe Riga is a very livable city with a lovely old town and a very impressive market It s a popular destination for young Europeans who are looking to go bar hopping and enjoy some cheap drinks but it s still second in line to the more popular and famous city of Tallinn to the north If you find yourself with a few days in Riga and can spare the time lengthen your stay because this beautiful country has so much to offer outside of its capital Outside of Riga there are many things to see in the form of great beaches lovely small towns and beautiful countryside Churches and crosses dot the landscape paying tribute to the area s strong religious routes There are museums and monuments that educate and inform the visitor on country s brutal past but the lighthearted nature of its citizens give today s Lativa a fun and laid back atmosphere Whether you choose to hang out in the cosmopolitan capital city or step back in time to the quaint villages you re sure to have an eyeopening experience in this great country At A GlanceIf you re traveling into Latvia from within Europe your cheapest option is often to catch a flight on Air Baltic It s the country s national airline and most flights travel through Riga There are connections available throughout Europe and the prices are usually quite low It s often cheaper than taking the train or any other form of ground transportation Because the country is so small it is fairly easy to navigate it by public transportation Trains travel to many different towns and those that are not accessible by train can be reached by bus It s not necessary to rent a car but if you do decide you d like your own private vehicle there are plenty of reputable rental agencies around Summer is easily the most popular time to visit the country The weather is the most mild during the summer months and it s a good time to be outdoors and experience the area s nature Many restaurants and hotels close during the winter months as well so you may find it challenging to visit during these low times as well This is particularly true in the small towns and near the national parks Even in Riga you will find that some hostels are not open during the coldest winter months If you re looking for souvenirs to take home there are many great local markets throughout the country In large cities and small towns alike you can find handmade goods that range from hand woven mittens to pottery and jewelry If you re at an outdoor market you can often barter the price down a little bit If you re in a college town head to the neighborhood around the university to grab a bite to eat The prices are cheaper than other neighborhoods and the meals are very filling It s a great option for those who are traveling on a budget Many of the restaurants are casual in nature and sell everything from piragis to pancakes You often pay by the weight so you can get as much or as little as you like Related Traveling alone to Moscow St Petersburg Stockholm or Riga and need a hostel Looking for a party in Copenhagen or Tallinn Looking for budget hostels in Scandinavia Find a Contiki tour to Europe Top Tourist Attractions Riga s Old Town Riga s Old Town is a great place to take a walking tour and learn about the fascinating history of this small country There s some excellent examples of regional architecture plenty of outdoor cafes and a nearby market where you can do some shopping Sigulda This is a great place for those who enjoy outdoor sports and activities or want to see an interesting castle It s a small rural community and it is best visited during the summer months when the hiking trails are at their best and the outdoor entertainment is all open Gauja National Park This is the largest national park in the country and is a great place to experience the area s natural beauty The most famous sight is the sandstone cliffs that run along the Gauja River At their maximum they can reach ninety meters in height Popular Foods Latvian cuisine is comparable to many of its northern neighbors The dishes are usually hearty and filling Popular ingredients include bread sausage mushrooms pork potatoes and beets It doesn t use much spice so some visitors consider the flavors kind of bland Seafood is a popular item and you can find smoked salmon in most markets Outdoor markets are popular throughout the country and you ll find the largest in downtown Riga Aukstais galds The Latvian form of a Smorgasbord this is typically served at a wedding or special event Typical items include ham jellied meats smoked salmon rye bread and Latvian potato salad Piragis These crescent filled pastries are usually made with a bacon or meat and onion filling They are the Latvian version of a dumpling and are available at cafes and restaurants throughout the country Kvass This is an alcoholic drink that is made from fermented rye bread The alcohol content is generally quite low and the drink is sometimes used in the preparation of a soup 
119,Morocco,MAD,395,206,413,114,40,52,20,1520,63,18, Morocco On a Budget Fez Morocco is a popular travel destination in large part because of its unique culture It s an Arabic country in North Africa that is easily reachable from mainland Europe Ferries connect Spain to Morocco and more recently discount flights offer cheap airfare from the United Kingdom and elsewhere around Europe With its easy accessibility this country sees its fair share of tourists but it s still not hard to find places that remain untouched by the tourist dollar You ll find a wonderful mix of history culture nature and of course food in the area You can get lost in the medinas of Fez or Marrakesh They re filled with stalls that sell anything from produce to artwork You can make a reservation in a room in a historic riad These traditional buildings have lovely courtyards and gardens so you feel like you ve stepped into paradise Or you could take a camel trek in the Sahara The stars will fill the sky and the sand dunes go on forever After days on a trek you ll deserve a few days of relaxation on a beach in Essaouira The diversity and rich culture throughout the country make it a must see for many travelers The area s diversity is a large part of its appeal but this also makes it hard to see everything in a short visit It s important to prioritize what you want to see and not try to do too much If you re short on time pick only a few sights and take the time to fully experience them If you find yourself too rushed you re less likely to completely enjoy anything Morocco remains a budget travel destination despite its rise in popularity There are hotels and hostels everywhere and competition keeps prices low Food is also very reasonably priced and street food offers a great sampling of traditional dishes at a cheap price If you re on a particularly tight budget head to the country during the winter months when the crowds are at their thinnest and the prices are the lowest the weather is still fairly warm This is also the best time to visit if you re hoping to avoid the touts At A GlancePublic transportation is very good in Morocco In most major cities there is a bus station with an indoor area where you can purchase your tickets from official windows Go directly to your window of choice and do not give your money to anybody outside of the bus station Touts linger around the buses and carry luggage purchase tickets or assist foreigners for tips In some cases they can be a little overly aggressive but generally they are harmless Otherwise it s possible to drive yourself as most roads are decent Here are some tips from driving in Morocco or you can find car rental prices here Fresh produce is excellent throughout the country If you have access to a kitchen head to the market and pick up some vegetables spices and a little meat You can try your hand at making your own Moroccan feast Although it may not be exactly what you find in the restaurants it s still a fun experience This is a very diverse country It is almost impossible to see everything on one trip Instead pick one area or a few highlights and spend the majority of your time at these locations You ll be able to fully experience a small part of the country and your trip will be more rewarding for the experience Visit this country during the shoulder season Unless you plan to swim at the beaches there s no need to be in the country when the weather is hot The crowds will be less and you ll save a lot of money if you re in town during the late fall or winter months There is no shortage of touts in most tourist destinations If you re exploring a medina go past the main entrance to the deeper and more authentic areas You ll get better deals and have a more peaceful and interesting experience You ll also see where the locals shop and get away from the majority of the hotels and tourist restaurants RelatedMorocco is a very diverse country as the weather on the coast can be very different from the weather in the mountains or in the desert Make sure you pack the right gear Check out this great packing list for Morocco for more information Looking for a hostel in Marrakesh Cape Town Nairobi or Zanzibar Top Tourist Attractions Todra Gorge Located on the eastern side of the High Atlas Mountains this is a beautiful canyon that is carved into the mountainside It s near the town of Tinerhir and has dramatically steep cliffs that are set amongst desert and mountain scenery Erg Chebbi These are stunning sand dunes in the Sahara desert that catch the light perfectly They are most beautiful as the sun rises or sets when the light is the most dramatic and the colors and strikingly bold Fez Medina This is one of the largest and most elaborate medinas in the country It s also one of the most traditional with its narrow walkways stalls of spices and merchants carrying their goods on the backs of donkeys Popular Foods Moroccan cuisine uses rich flavors fresh ingredients and slow cooking techniques to make absolutely delicious dishes Many of the dishes are slow cooked into stew like meals that are served with a side of bread or couscous Mint tea is a popular drink that accompanies many meals You ll find delicious restaurants throughout the country and you generally won t have problems finding a dish that you like Tagine Moroccan tagine is a stew like dish that is slow cooked for hours It s usually made with either lamb or chicken and is marinated with flavorful herbs and spices It often includes olives lemons prunes or apricots and is served with a side of Moroccan style bread which you can use to sop up the sauce Couscous Couscous is a common grain dish topped with a meat such as chicken and rich spices There s usually a liquid broth sauce that accompanies it This is probably the second most popular dish in the area after tagine Pastilla This is a traditional meat pastry dish that is similar to a pie but is instead filled with chicken and spices It s often seasoned with cinnamon and powdered sugar It s a very unique combination of sweet and savory flavors and is often served as an appetizer Despite it s unusual combination it is quite good and well worth a try 
120,Monaco,EUR,168,97,195,47,16,41,NA,NA,48,300, Monaco On a Budget Monaco Monaco is a small city state that is completely surrounded by France The Italian Riviera is only a few kilometers to the east and the country enjoys a wonderful Mediterranean climate Monaco is also the second smallest independent state in the world with the Vatican being the smallest It is six times as large of the Vatican and also the world s most densely populated independent country It is entirely urban and a fun place to spend a few days Monaco is divided into four areas The old city is known as Monaco Ville Condamine is the port quarter Monte Carlo is a government district and Fontvieille is known for its recreation and industry Monaco is lacking in natural resources but the climate and location make it a wonderful place to visit Many businesses use it as a tax haven while tourists take advantage of its resort like atmosphere At A GlanceThe easiest and most enjoyable way to explore Monaco is on foot There are some significant elevation changes particularly around the Exotic Gardens so these areas may involve more strenuous hiking Some of the steeper slopes in the city are also served by free public escalators and elevators A pedestrian only ferry also runs to Port Hercule and can be taken for just one Euro If you have the money to spend a fun activity is gambling at the Grand Casino which is frequented by many of the world s rich and famous A passport is required to enter and there is a wide range of entry fees depending on the room you wish to enter Cheaper rooms start around thirty Euros and more expensive rooms can easily reach several hundred For a smaller entry fee you can visit the casino without gambling It is worth visiting if only to see the spectacular gaming rooms which have stained glass paintings and impressive sculptures It is also important to realize that there is a very strictly enforced dress code Men must wear coats and ties with no casual shoes Monaco plays host to one of Europe s premier social events every year the Formula 1 Grand Prix It is organized by the Automobile Club of Monaco and takes competitors through 78 laps of Monte Carlo s narrow and twisting streets The close proximity with which spectators can view the race is one of the main attractions 3 000 seats are sold each year and Monaco residents will rent out their terracees for the event for large sums of money If you re in town during the off season you can grab a map of the route from a tourist office and walk the course Monaco is not a place to shop if you re on a budget There are plenty of high end shops throughout the country though if you have money to spend Chic clothes shops are found in the Golden Circle which is enclosed by Avenue Monte Carlo Avenue des Beaux Arts and Allees Lumieres Here you will find Hermes Christian Dior Gucci and Prada If you re looking for jewelry head to the area near Place du Casino where Bulgari Cartier and Chopard are located If you aren t up for spending the money it s still fun to window shop which is a common activity among tourists Shopping hours are from 9 am to 12 pm and 3 pm to 7 pm Staying in Monaco is quite expensive If you re on a tight budget you ll do better to head out of town and stay an hour or so away Nice is only half an hour away and Ventimiglia is another more affordable seaside town near the French Italian border on the Italy side Top Tourist Attractions Monaco Ville This picturesque area is known as the rock It s a medieval village that is still made up almost exclusively of pedestrian streets and passageways Many of the houses are historical but there are also a good number of hotels restaurants and souvenir shops that appeal to tourists Sights within the area include the Prince s Palace the Cathedral the Oceanographic Museum the City Hall and the Saint Martin Gardens Palais Princier the Prince s Palace Located in Monaco Ville this palace is well worth a visit There s a panoramic view that looks out on the Port and Monte Carlo and a changing of the guard cermony takes place every day just before noon There are also daily tours of the palace that run throughout the day Monaco Cathedral Built in 1875 on the site of a 13th century church this Cathedral is dedicated to Saint Nicolas It houses the remains of former Princes of Monaco as well as Princess Grace Popular Foods Dining out in Monaco is delicious but expensive Some favorite restaurants include those found on the waterfront along the Port de Fontvieille or around the Casino Eating out during the winter months may be slightly more affordable If you are on a tight budget there are some small cafes throughout the city that serve simple meals such as pizza or hot dogs Barbagiuan This is a sweet pastry appetizer that originated in Monaco but is served throughout the region In Monaco they are most often available on National Day The pastries are filled with rice cheese leeks and either pumpkin or spinach Fougasse Also a sweet pastry this option is made with orange infused dough that is topped with nuts and anise seeds Stocafi A national dish of Monaco this is made with dried cod that is stewed in tomato sauce It is flavored with black olives and small vegetables 
121,Moldova,MDL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Moldova On a Budget 
122,Montenegro,EUR,59,24,49,21,740,666,NA,NA,852,522, Montenegro On a Budget Kotor Montenegro Located in the Balkans region on the Adriatic Sea Montenegro is a nation best characterized by its rugged mountains medieval villages and a narrow strip of beaches along its Adriatic coastline The nation also hosts a number of National Parks and historic towns Related Looking for a party in Croatia Traveling alone to Split or Dubrovnik Find a Contiki tour to Europe Top Tourist Attractions Montenegro is generally divided into five regions Bay of Kotor Considered one of the most beautiful bays of Europe the Bay of Kotor features a typical Mediterranean vibe with scenic towns and UNESCO World Heritage Sites like Perast and Kotor It encompasses Montenegro s northernmost coastal area Budva Riviera This region makes up the nation s central coast and features the main tourist drag with pleasant beaches historic villages and a thriving nightlife Central Montenegro Just inland from the coast Central Montenegro makes up the heart of the nation It is home to the state capital Podgorica the historical capital Cetinje and the industrial center NikSic Skadar Lake National Park and Lovcen National Park showcase the region s natural beauty as well Montenegrin South Coast This is Montenegro s southernmost coast on the Adriatic Sea Its main hubs are the towns of Bar and Ulcinj North Montenegrin Mountains Furthest inland this region is a place dominated by natural scenery It is situated within the Dinaric Alps and features some of the wildest beauty in the nation like Durmitor National Park s Tara River Canyon Zabljak is the center of Montenegrin mountain tourism and a popular spot for skiers Top Tourist AttractionsKotor The Bay of Kotor which resembles a fjord is dotted with coastal churches and fortified towns such as Kotor and Herceg Novi Kotor itself is a beautifully preserved fortified medieval town featuring a labyrinth of cobbled streets lively piazzas historic churches and an entire spread of bars and restaurants Some of the most impressive churches include the 12th century St Tryphon Cathedral the Church of St Luke and the Orthodox St Nicholas Church Budva A coastal resort in Montenegro Budva is probably the country s most popular tourist destination Not only does it host a number of great beaches but it is also home to a picturesque old town center located on a small peninsula Some of its best features include narrow winding lanes historic buildings churches and small squares The walled town center also has a medieval town fortress referred to as Citadela National Parks Boasting a plethora of beautiful natural scenery from its glimmering coastline to its mountainous inland Montenegro also hosts a number of national parks Biogradska Gora National Park is one of furthest inland standing as one of the last remaining untouched forests in Europe Durmitor National Park is Montenegro s other inland treasure This park s most sought out attraction is the Tara River Canyon the deepest canyon in Europe and a hub for rafting excursions Closer to the coast is Lovcen National Park where many visitors climb to the top of the mountain for stunning views And finally there is Skadar Lake National Park the largest lake on the Balkans with a very diverse ecosystem of flora and fauna By plane Podgorica Airport is Montenegro s main international airport located about 12 kilometers south of the capital city Podgorica It serves as a hub for Montenegro Airlines Tivat Airport is situated near the city of Tivat on the Montenegrin coast It has regular flights to Belgrade and Moscow throughout the year and has charter flights to major European destinations during the summer Another possible flight option is Dubrovnik airport in Croatia a half hour drive from the Montenegro border It is served by many major airlines making it a good option for tourists coming by plane Montenegro is also well connected to neighboring countries by bus there are trains from Belgrade and ferry lines from Italy Popular Foods Because of its proximity to the sea Montenegro has plenty of fresh fish and seafood dishes These dishes are typically garnished with polenta blitva a kind of spinach or broiled potatoes Drying fish is also traditionally practiced along the coast Further inland meat is more popular with selections of mutton pork beef and poultry used in a variety of dishes Meats are often served with vegetables and Kajmak a kind of clotted cream made with sheep s milk Montenegrin cuisine also distinguishes its soups supa for clear soup corba for a thick soup or stew kasa for a porridge style dish For dessert there is an assortment of local sweets including palacinke a large pancake filled with jam chocolate or cream baklava with raisins and walnuts krofne doughnut filled with jam or chocolate and a cream layered cake called krempita Most sweets are served with coffee 
123,Saint Martin,EUR,NA,NA,NA,NA,NA,21,NA,NA,NA,NA, Saint Martin On a Budget 
