,Class,
19983,[2.0],2
19984,[2.0],2
19985,[3.0],3
19986,[1.0],1
19987,[2.0],2
19988,[2.0],2
19989,[2.0],2
19990,[2.0],2
19991,[2.0],2
19992,[2.0],2
19993,[2.0],2
19994,[1.0],1
19995,[3.0],3
19996,[1.0],1
19997,[3.0],3
19998,[3.0],3
19999,[3.0],3
20000,[1.0],1
20001,[2.0],2
20002,[2.0],2
20003,[3.0],3
20004,[3.0],3
20005,[3.0],3
20006,[1.0],1
20007,[2.0],2
20008,[1.0],1
20009,[2.0],2
20010,[3.0],3
20011,[3.0],3
20012,[2.0],2
20013,[2.0],2
20014,[1.0],1
20015,[1.0],1
20016,[1.0],1
20017,[1.0],1
20018,[2.0],2
20019,[2.0],2
20020,[3.0],3
20021,[2.0],2
20022,[3.0],3
20023,[2.0],2
20024,[3.0],3
20025,[1.0],1
20026,[3.0],3
20027,[1.0],1
20028,[3.0],3
20029,[2.0],2
20030,[2.0],2
20031,[2.0],2
20032,[2.0],2
20033,[1.0],1
20034,[2.0],2
20035,[3.0],3
20036,[2.0],2
20037,[2.0],2
20038,[2.0],2
20039,[2.0],2
20040,[3.0],3
20041,[2.0],2
20042,[2.0],2
20043,[3.0],3
20044,[2.0],2
20045,[2.0],2
20046,[1.0],1
20047,[3.0],3
20048,[3.0],3
20049,[2.0],2
20050,[1.0],1
20051,[2.0],2
20052,[1.0],1
20053,[3.0],3
20054,[2.0],2
20055,[1.0],1
20056,[2.0],2
20057,[1.0],1
20058,[3.0],3
20059,[2.0],2
20060,[3.0],3
20061,[3.0],3
20062,[3.0],3
20063,[2.0],2
20064,[2.0],2
20065,[2.0],2
20066,[2.0],2
20067,[3.0],3
20068,[2.0],2
20069,[3.0],3
20070,[1.0],1
20071,[2.0],2
20072,[3.0],3
20073,[3.0],3
20074,[3.0],3
20075,[2.0],2
20076,[2.0],2
20077,[1.0],1
20078,[1.0],1
20079,[3.0],3
20080,[1.0],1
20081,[2.0],2
20082,[2.0],2
20083,[3.0],3
20084,[3.0],3
20085,[2.0],2
20086,[3.0],3
20087,[2.0],2
20088,[1.0],1
20089,[1.0],1
20090,[1.0],1
20091,[3.0],3
20092,[3.0],3
20093,[2.0],2
20094,[2.0],2
20095,[3.0],3
20096,[1.0],1
20097,[1.0],1
20098,[2.0],2
20099,[1.0],1
20100,[3.0],3
20101,[1.0],1
20102,[3.0],3
20103,[1.0],1
20104,[1.0],1
20105,[2.0],2
20106,[3.0],3
20107,[3.0],3
20108,[1.0],1
20109,[3.0],3
20110,[1.0],1
20111,[2.0],2
20112,[1.0],1
20113,[1.0],1
20114,[2.0],2
20115,[2.0],2
20116,[1.0],1
20117,[1.0],1
20118,[1.0],1
20119,[3.0],3
20120,[2.0],2
20121,[1.0],1
20122,[2.0],2
20123,[1.0],1
20124,[2.0],2
20125,[3.0],3
20126,[1.0],1
20127,[1.0],1
20128,[2.0],2
20129,[2.0],2
20130,[1.0],1
20131,[2.0],2
20132,[1.0],1
20133,[1.0],1
20134,[3.0],3
20135,[2.0],2
20136,[1.0],1
20137,[2.0],2
20138,[1.0],1
20139,[3.0],3
20140,[1.0],1
20141,[2.0],2
20142,[3.0],3
20143,[2.0],2
20144,[2.0],2
20145,[2.0],2
20146,[3.0],3
20147,[1.0],1
20148,[2.0],2
20149,[3.0],3
20150,[1.0],1
20151,[2.0],2
20152,[3.0],3
20153,[2.0],2
20154,[3.0],3
20155,[1.0],1
20156,[1.0],1
20157,[2.0],2
20158,[2.0],2
20159,[1.0],1
20160,[2.0],2
20161,[2.0],2
20162,[3.0],3
20163,[2.0],2
20164,[3.0],3
20165,[1.0],1
20166,[3.0],3
20167,[3.0],3
20168,[1.0],1
20169,[1.0],1
20170,[2.0],2
20171,[1.0],1
20172,[1.0],1
20173,[3.0],3
20174,[1.0],1
20175,[2.0],2
20176,[2.0],2
20177,[1.0],1
20178,[1.0],1
20179,[1.0],1
20180,[2.0],2
20181,[2.0],2
20182,[1.0],1
20183,[3.0],3
20184,[2.0],2
20185,[3.0],3
20186,[2.0],2
20187,[1.0],1
20188,[2.0],2
20189,[3.0],3
20190,[1.0],1
20191,[1.0],1
20192,[1.0],1
20193,[3.0],3
20194,[2.0],2
20195,[3.0],3
20196,[1.0],1
20197,[1.0],1
20198,[1.0],1
20199,[1.0],1
20200,[1.0],1
20201,[1.0],1
20202,[2.0],2
20203,[3.0],3
20204,[1.0],1
20205,[3.0],3
20206,[3.0],3
20207,[3.0],3
20208,[2.0],2
20209,[2.0],2
20210,[1.0],1
20211,[1.0],1
20212,[3.0],3
20213,[2.0],2
20214,[1.0],1
20215,[2.0],2
20216,[2.0],2
20217,[2.0],2
20218,[3.0],3
20219,[1.0],1
20220,[2.0],2
20221,[1.0],1
20222,[2.0],2
20223,[3.0],3
20224,[2.0],2
20225,[1.0],1
20226,[1.0],1
20227,[2.0],2
20228,[3.0],3
20229,[2.0],2
20230,[3.0],3
20231,[1.0],1
20232,[1.0],1
20233,[1.0],1
20234,[2.0],2
20235,[3.0],3
20236,[1.0],1
20237,[2.0],2
20238,[2.0],2
20239,[3.0],3
20240,[1.0],1
20241,[3.0],3
20242,[1.0],1
20243,[1.0],1
20244,[1.0],1
20245,[2.0],2
20246,[2.0],2
20247,[1.0],1
20248,[2.0],2
20249,[3.0],3
20250,[3.0],3
20251,[2.0],2
20252,[3.0],3
20253,[3.0],3
20254,[3.0],3
20255,[1.0],1
20256,[2.0],2
20257,[3.0],3
20258,[2.0],2
20259,[3.0],3
20260,[3.0],3
20261,[2.0],2
20262,[2.0],2
20263,[1.0],1
20264,[2.0],2
20265,[2.0],2
20266,[2.0],2
20267,[3.0],3
20268,[2.0],2
20269,[2.0],2
20270,[3.0],3
20271,[2.0],2
20272,[1.0],1
20273,[1.0],1
20274,[1.0],1
20275,[2.0],2
20276,[1.0],1
20277,[1.0],1
20278,[2.0],2
20279,[2.0],2
20280,[1.0],1
20281,[3.0],3
20282,[2.0],2
20283,[1.0],1
20284,[1.0],1
20285,[1.0],1
20286,[3.0],3
20287,[2.0],2
20288,[1.0],1
20289,[1.0],1
20290,[3.0],3
20291,[2.0],2
20292,[3.0],3
20293,[2.0],2
20294,[3.0],3
20295,[1.0],1
20296,[2.0],2
20297,[1.0],1
20298,[1.0],1
20299,[3.0],3
20300,[2.0],2
20301,[3.0],3
20302,[3.0],3
20303,[2.0],2
20304,[2.0],2
20305,[1.0],1
20306,[2.0],2
20307,[3.0],3
20308,[3.0],3
20309,[2.0],2
20310,[2.0],2
20311,[2.0],2
20312,[2.0],2
20313,[1.0],1
20314,[2.0],2
20315,[2.0],2
20316,[3.0],3
20317,[2.0],2
20318,[1.0],1
20319,[1.0],1
20320,[1.0],1
20321,[1.0],1
20322,[2.0],2
20323,[1.0],1
20324,[2.0],2
20325,[2.0],2
20326,[1.0],1
20327,[2.0],2
20328,[3.0],3
20329,[3.0],3
20330,[1.0],1
20331,[2.0],2
20332,[1.0],1
20333,[2.0],2
20334,[3.0],3
20335,[3.0],3
20336,[2.0],2
20337,[1.0],1
20338,[3.0],3
20339,[1.0],1
20340,[2.0],2
20341,[1.0],1
20342,[1.0],1
20343,[1.0],1
20344,[2.0],2
20345,[3.0],3
20346,[3.0],3
20347,[3.0],3
20348,[2.0],2
20349,[3.0],3
20350,[1.0],1
20351,[3.0],3
20352,[3.0],3
20353,[2.0],2
20354,[3.0],3
20355,[3.0],3
20356,[3.0],3
20357,[3.0],3
20358,[3.0],3
20359,[3.0],3
20360,[2.0],2
20361,[3.0],3
20362,[1.0],1
20363,[2.0],2
20364,[2.0],2
20365,[1.0],1
20366,[2.0],2
20367,[3.0],3
20368,[2.0],2
20369,[1.0],1
20370,[2.0],2
20371,[1.0],1
20372,[1.0],1
20373,[3.0],3
20374,[1.0],1
20375,[1.0],1
20376,[2.0],2
20377,[1.0],1
20378,[3.0],3
20379,[2.0],2
20380,[3.0],3
20381,[1.0],1
20382,[2.0],2
20383,[3.0],3
20384,[3.0],3
20385,[3.0],3
20386,[3.0],3
20387,[3.0],3
20388,[3.0],3
20389,[3.0],3
20390,[2.0],2
20391,[3.0],3
20392,[1.0],1
20393,[1.0],1
20394,[1.0],1
20395,[3.0],3
20396,[3.0],3
20397,[1.0],1
20398,[2.0],2
20399,[3.0],3
20400,[2.0],2
20401,[2.0],2
20402,[3.0],3
20403,[3.0],3
20404,[3.0],3
20405,[2.0],2
20406,[1.0],1
20407,[1.0],1
20408,[1.0],1
20409,[2.0],2
20410,[1.0],1
20411,[1.0],1
20412,[3.0],3
20413,[1.0],1
20414,[3.0],3
20415,[3.0],3
20416,[2.0],2
20417,[2.0],2
20418,[3.0],3
20419,[1.0],1
20420,[1.0],1
20421,[3.0],3
20422,[3.0],3
20423,[2.0],2
20424,[3.0],3
20425,[2.0],2
20426,[2.0],2
20427,[2.0],2
20428,[1.0],1
20429,[1.0],1
20430,[2.0],2
20431,[3.0],3
20432,[1.0],1
20433,[1.0],1
20434,[2.0],2
20435,[2.0],2
20436,[2.0],2
20437,[2.0],2
20438,[1.0],1
20439,[1.0],1
20440,[3.0],3
20441,[3.0],3
20442,[1.0],1
20443,[1.0],1
20444,[3.0],3
20445,[3.0],3
20446,[2.0],2
20447,[3.0],3
20448,[3.0],3
20449,[1.0],1
20450,[3.0],3
20451,[3.0],3
20452,[1.0],1
20453,[1.0],1
20454,[3.0],3
20455,[3.0],3
20456,[1.0],1
20457,[2.0],2
20458,[2.0],2
20459,[3.0],3
20460,[2.0],2
20461,[1.0],1
20462,[1.0],1
20463,[2.0],2
20464,[3.0],3
20465,[2.0],2
20466,[2.0],2
20467,[1.0],1
20468,[2.0],2
20469,[2.0],2
20470,[1.0],1
20471,[3.0],3
20472,[2.0],2
20473,[1.0],1
20474,[1.0],1
20475,[3.0],3
20476,[1.0],1
20477,[3.0],3
20478,[1.0],1
20479,[2.0],2
20480,[1.0],1
20481,[3.0],3
20482,[3.0],3
20483,[1.0],1
20484,[1.0],1
20485,[1.0],1
20486,[2.0],2
20487,[3.0],3
20488,[3.0],3
20489,[2.0],2
20490,[2.0],2
20491,[2.0],2
20492,[2.0],2
20493,[3.0],3
20494,[3.0],3
20495,[3.0],3
20496,[2.0],2
20497,[3.0],3
20498,[3.0],3
20499,[1.0],1
20500,[2.0],2
20501,[3.0],3
20502,[1.0],1
20503,[1.0],1
20504,[3.0],3
20505,[2.0],2
20506,[2.0],2
20507,[1.0],1
20508,[2.0],2
20509,[3.0],3
20510,[3.0],3
20511,[2.0],2
20512,[1.0],1
20513,[1.0],1
20514,[2.0],2
20515,[3.0],3
20516,[1.0],1
20517,[2.0],2
20518,[2.0],2
20519,[2.0],2
20520,[2.0],2
20521,[2.0],2
20522,[1.0],1
20523,[2.0],2
20524,[1.0],1
20525,[1.0],1
20526,[2.0],2
20527,[3.0],3
20528,[1.0],1
20529,[2.0],2
20530,[1.0],1
20531,[2.0],2
20532,[3.0],3
20533,[2.0],2
20534,[1.0],1
20535,[2.0],2
20536,[3.0],3
20537,[1.0],1
20538,[3.0],3
20539,[3.0],3
20540,[2.0],2
20541,[3.0],3
20542,[3.0],3
20543,[1.0],1
20544,[3.0],3
20545,[2.0],2
20546,[1.0],1
20547,[3.0],3
20548,[3.0],3
20549,[3.0],3
20550,[2.0],2
20551,[1.0],1
20552,[2.0],2
20553,[3.0],3
20554,[3.0],3
20555,[3.0],3
20556,[2.0],2
20557,[3.0],3
20558,[3.0],3
20559,[3.0],3
20560,[1.0],1
20561,[1.0],1
20562,[1.0],1
20563,[3.0],3
20564,[1.0],1
20565,[3.0],3
20566,[2.0],2
20567,[3.0],3
20568,[1.0],1
20569,[3.0],3
20570,[3.0],3
20571,[3.0],3
20572,[2.0],2
20573,[2.0],2
20574,[1.0],1
20575,[1.0],1
20576,[2.0],2
20577,[3.0],3
20578,[1.0],1
20579,[3.0],3
20580,[3.0],3
20581,[2.0],2
20582,[2.0],2
20583,[3.0],3
20584,[2.0],2
20585,[3.0],3
20586,[1.0],1
20587,[2.0],2
20588,[3.0],3
20589,[1.0],1
20590,[1.0],1
20591,[2.0],2
20592,[2.0],2
20593,[2.0],2
20594,[3.0],3
20595,[1.0],1
20596,[1.0],1
20597,[1.0],1
20598,[1.0],1
20599,[3.0],3
20600,[1.0],1
20601,[3.0],3
20602,[1.0],1
20603,[3.0],3
20604,[1.0],1
20605,[1.0],1
20606,[3.0],3
20607,[3.0],3
20608,[3.0],3
20609,[2.0],2
20610,[1.0],1
20611,[2.0],2
20612,[1.0],1
20613,[1.0],1
20614,[1.0],1
20615,[1.0],1
20616,[1.0],1
20617,[2.0],2
20618,[1.0],1
20619,[2.0],2
20620,[2.0],2
20621,[1.0],1
20622,[3.0],3
20623,[2.0],2
20624,[1.0],1
20625,[1.0],1
20626,[2.0],2
20627,[1.0],1
20628,[3.0],3
20629,[1.0],1
20630,[1.0],1
20631,[1.0],1
20632,[2.0],2
20633,[2.0],2
20634,[3.0],3
20635,[1.0],1
20636,[2.0],2
20637,[2.0],2
20638,[3.0],3
20639,[1.0],1
20640,[1.0],1
20641,[2.0],2
20642,[3.0],3
20643,[2.0],2
20644,[2.0],2
20645,[3.0],3
20646,[2.0],2
20647,[3.0],3
20648,[1.0],1
20649,[1.0],1
20650,[1.0],1
20651,[1.0],1
20652,[2.0],2
20653,[1.0],1
20654,[1.0],1
20655,[3.0],3
20656,[1.0],1
20657,[2.0],2
20658,[3.0],3
20659,[1.0],1
20660,[1.0],1
20661,[2.0],2
20662,[2.0],2
20663,[1.0],1
20664,[2.0],2
20665,[1.0],1
20666,[1.0],1
20667,[3.0],3
20668,[3.0],3
20669,[1.0],1
20670,[1.0],1
20671,[1.0],1
20672,[3.0],3
20673,[2.0],2
20674,[3.0],3
20675,[3.0],3
20676,[2.0],2
20677,[2.0],2
20678,[1.0],1
20679,[1.0],1
20680,[3.0],3
20681,[2.0],2
20682,[3.0],3
20683,[1.0],1
20684,[2.0],2
20685,[3.0],3
20686,[3.0],3
20687,[1.0],1
20688,[1.0],1
20689,[1.0],1
20690,[3.0],3
20691,[1.0],1
20692,[1.0],1
20693,[2.0],2
20694,[2.0],2
20695,[2.0],2
20696,[2.0],2
20697,[3.0],3
20698,[2.0],2
20699,[1.0],1
20700,[1.0],1
20701,[2.0],2
20702,[3.0],3
20703,[1.0],1
20704,[1.0],1
20705,[2.0],2
20706,[2.0],2
20707,[3.0],3
20708,[2.0],2
20709,[3.0],3
20710,[3.0],3
20711,[1.0],1
20712,[2.0],2
20713,[3.0],3
20714,[1.0],1
20715,[3.0],3
20716,[2.0],2
20717,[3.0],3
20718,[3.0],3
20719,[3.0],3
20720,[1.0],1
20721,[1.0],1
20722,[3.0],3
20723,[2.0],2
20724,[3.0],3
20725,[2.0],2
20726,[1.0],1
20727,[1.0],1
20728,[3.0],3
20729,[2.0],2
20730,[3.0],3
20731,[2.0],2
20732,[1.0],1
20733,[1.0],1
20734,[2.0],2
20735,[3.0],3
20736,[1.0],1
20737,[1.0],1
20738,[1.0],1
20739,[2.0],2
20740,[2.0],2
20741,[2.0],2
20742,[1.0],1
20743,[3.0],3
20744,[3.0],3
20745,[3.0],3
20746,[2.0],2
20747,[3.0],3
20748,[1.0],1
20749,[1.0],1
20750,[3.0],3
20751,[3.0],3
20752,[1.0],1
20753,[2.0],2
20754,[2.0],2
20755,[2.0],2
20756,[2.0],2
20757,[1.0],1
20758,[3.0],3
20759,[3.0],3
20760,[2.0],2
20761,[1.0],1
20762,[2.0],2
20763,[2.0],2
20764,[3.0],3
20765,[1.0],1
20766,[3.0],3
20767,[1.0],1
20768,[2.0],2
20769,[2.0],2
20770,[3.0],3
20771,[3.0],3
20772,[3.0],3
20773,[1.0],1
20774,[3.0],3
20775,[2.0],2
20776,[3.0],3
20777,[3.0],3
20778,[3.0],3
20779,[2.0],2
20780,[3.0],3
20781,[3.0],3
20782,[2.0],2
20783,[3.0],3
20784,[1.0],1
20785,[3.0],3
20786,[2.0],2
20787,[3.0],3
20788,[3.0],3
20789,[3.0],3
20790,[3.0],3
20791,[3.0],3
20792,[1.0],1
20793,[2.0],2
20794,[1.0],1
20795,[3.0],3
20796,[3.0],3
20797,[3.0],3
20798,[1.0],1
20799,[1.0],1
20800,[2.0],2
20801,[3.0],3
20802,[3.0],3
20803,[3.0],3
20804,[1.0],1
20805,[1.0],1
20806,[3.0],3
20807,[1.0],1
20808,[3.0],3
20809,[2.0],2
20810,[1.0],1
20811,[3.0],3
20812,[1.0],1
20813,[2.0],2
20814,[1.0],1
20815,[1.0],1
20816,[1.0],1
20817,[2.0],2
20818,[3.0],3
20819,[1.0],1
20820,[1.0],1
20821,[2.0],2
20822,[2.0],2
20823,[2.0],2
20824,[1.0],1
20825,[3.0],3
20826,[1.0],1
20827,[3.0],3
20828,[3.0],3
20829,[3.0],3
20830,[2.0],2
20831,[1.0],1
20832,[2.0],2
20833,[2.0],2
20834,[2.0],2
20835,[3.0],3
20836,[2.0],2
20837,[1.0],1
20838,[1.0],1
20839,[2.0],2
20840,[2.0],2
20841,[2.0],2
20842,[2.0],2
20843,[1.0],1
20844,[1.0],1
20845,[2.0],2
20846,[3.0],3
20847,[1.0],1
20848,[3.0],3
20849,[1.0],1
20850,[3.0],3
20851,[2.0],2
20852,[1.0],1
20853,[3.0],3
20854,[1.0],1
20855,[3.0],3
20856,[1.0],1
20857,[3.0],3
20858,[3.0],3
20859,[1.0],1
20860,[3.0],3
20861,[3.0],3
20862,[2.0],2
20863,[2.0],2
20864,[2.0],2
20865,[3.0],3
20866,[3.0],3
20867,[3.0],3
20868,[2.0],2
20869,[1.0],1
20870,[2.0],2
20871,[2.0],2
20872,[2.0],2
20873,[2.0],2
20874,[1.0],1
20875,[3.0],3
20876,[1.0],1
20877,[2.0],2
20878,[1.0],1
20879,[1.0],1
20880,[3.0],3
20881,[2.0],2
20882,[1.0],1
20883,[3.0],3
20884,[3.0],3
20885,[1.0],1
20886,[1.0],1
20887,[2.0],2
20888,[3.0],3
20889,[2.0],2
20890,[3.0],3
20891,[1.0],1
20892,[3.0],3
20893,[3.0],3
20894,[3.0],3
20895,[1.0],1
20896,[3.0],3
20897,[1.0],1
20898,[1.0],1
20899,[2.0],2
20900,[2.0],2
20901,[2.0],2
20902,[1.0],1
20903,[3.0],3
20904,[2.0],2
20905,[2.0],2
20906,[1.0],1
20907,[1.0],1
20908,[3.0],3
20909,[3.0],3
20910,[1.0],1
20911,[2.0],2
20912,[1.0],1
20913,[1.0],1
20914,[2.0],2
20915,[3.0],3
20916,[3.0],3
20917,[2.0],2
20918,[1.0],1
20919,[1.0],1
20920,[1.0],1
20921,[2.0],2
20922,[1.0],1
20923,[1.0],1
20924,[3.0],3
20925,[1.0],1
20926,[1.0],1
20927,[1.0],1
20928,[2.0],2
20929,[1.0],1
20930,[2.0],2
20931,[3.0],3
20932,[3.0],3
20933,[3.0],3
20934,[3.0],3
20935,[1.0],1
20936,[1.0],1
20937,[1.0],1
20938,[1.0],1
20939,[2.0],2
20940,[1.0],1
20941,[3.0],3
20942,[3.0],3
20943,[2.0],2
20944,[1.0],1
20945,[3.0],3
20946,[3.0],3
20947,[1.0],1
20948,[2.0],2
20949,[2.0],2
20950,[3.0],3
20951,[1.0],1
20952,[1.0],1
20953,[3.0],3
20954,[1.0],1
20955,[3.0],3
20956,[2.0],2
20957,[3.0],3
20958,[1.0],1
20959,[1.0],1
20960,[1.0],1
20961,[1.0],1
20962,[2.0],2
20963,[1.0],1
20964,[1.0],1
20965,[3.0],3
20966,[3.0],3
20967,[2.0],2
20968,[3.0],3
20969,[3.0],3
20970,[3.0],3
20971,[1.0],1
20972,[3.0],3
20973,[2.0],2
20974,[2.0],2
20975,[1.0],1
20976,[1.0],1
20977,[2.0],2
20978,[1.0],1
20979,[2.0],2
20980,[2.0],2
20981,[1.0],1
20982,[1.0],1
20983,[2.0],2
20984,[2.0],2
20985,[1.0],1
20986,[2.0],2
20987,[1.0],1
20988,[1.0],1
20989,[1.0],1
20990,[3.0],3
20991,[1.0],1
20992,[1.0],1
20993,[1.0],1
20994,[1.0],1
20995,[3.0],3
20996,[2.0],2
20997,[3.0],3
20998,[3.0],3
20999,[1.0],1
21000,[2.0],2
21001,[2.0],2
21002,[1.0],1
21003,[1.0],1
21004,[2.0],2
21005,[3.0],3
21006,[3.0],3
21007,[1.0],1
21008,[2.0],2
21009,[1.0],1
21010,[3.0],3
21011,[1.0],1
21012,[2.0],2
21013,[3.0],3
21014,[3.0],3
21015,[3.0],3
21016,[3.0],3
21017,[1.0],1
21018,[1.0],1
21019,[3.0],3
21020,[1.0],1
21021,[2.0],2
21022,[1.0],1
21023,[1.0],1
21024,[1.0],1
21025,[1.0],1
21026,[1.0],1
21027,[1.0],1
21028,[2.0],2
21029,[3.0],3
21030,[3.0],3
21031,[3.0],3
21032,[3.0],3
21033,[2.0],2
21034,[3.0],3
21035,[1.0],1
21036,[3.0],3
21037,[1.0],1
21038,[2.0],2
21039,[3.0],3
21040,[2.0],2
21041,[2.0],2
21042,[1.0],1
21043,[1.0],1
21044,[3.0],3
21045,[1.0],1
21046,[2.0],2
21047,[1.0],1
21048,[1.0],1
21049,[2.0],2
21050,[2.0],2
21051,[2.0],2
21052,[2.0],2
21053,[3.0],3
21054,[2.0],2
21055,[2.0],2
21056,[1.0],1
21057,[2.0],2
21058,[1.0],1
21059,[2.0],2
21060,[2.0],2
21061,[2.0],2
21062,[3.0],3
21063,[1.0],1
21064,[1.0],1
21065,[1.0],1
21066,[2.0],2
21067,[1.0],1
21068,[2.0],2
21069,[3.0],3
21070,[3.0],3
21071,[1.0],1
21072,[2.0],2
21073,[2.0],2
21074,[3.0],3
21075,[3.0],3
21076,[3.0],3
21077,[2.0],2
21078,[2.0],2
21079,[1.0],1
21080,[3.0],3
21081,[2.0],2
21082,[2.0],2
21083,[3.0],3
21084,[3.0],3
21085,[1.0],1
21086,[1.0],1
21087,[2.0],2
21088,[3.0],3
21089,[2.0],2
21090,[1.0],1
21091,[3.0],3
21092,[3.0],3
21093,[1.0],1
21094,[1.0],1
21095,[3.0],3
21096,[1.0],1
21097,[1.0],1
21098,[1.0],1
21099,[3.0],3
21100,[2.0],2
21101,[1.0],1
21102,[2.0],2
21103,[1.0],1
21104,[1.0],1
21105,[2.0],2
21106,[2.0],2
21107,[3.0],3
21108,[3.0],3
21109,[3.0],3
21110,[2.0],2
21111,[1.0],1
21112,[1.0],1
21113,[2.0],2
21114,[2.0],2
21115,[3.0],3
21116,[1.0],1
21117,[3.0],3
21118,[3.0],3
21119,[1.0],1
21120,[3.0],3
21121,[3.0],3
21122,[3.0],3
21123,[1.0],1
21124,[2.0],2
21125,[2.0],2
21126,[1.0],1
21127,[3.0],3
21128,[2.0],2
21129,[2.0],2
21130,[3.0],3
21131,[2.0],2
21132,[3.0],3
21133,[2.0],2
21134,[3.0],3
21135,[2.0],2
21136,[3.0],3
21137,[2.0],2
21138,[2.0],2
21139,[3.0],3
21140,[2.0],2
21141,[1.0],1
21142,[3.0],3
21143,[3.0],3
21144,[1.0],1
21145,[2.0],2
21146,[1.0],1
21147,[2.0],2
21148,[2.0],2
21149,[2.0],2
21150,[1.0],1
21151,[3.0],3
21152,[2.0],2
21153,[1.0],1
21154,[1.0],1
21155,[3.0],3
21156,[2.0],2
21157,[3.0],3
21158,[2.0],2
21159,[1.0],1
21160,[2.0],2
21161,[2.0],2
21162,[2.0],2
21163,[2.0],2
21164,[3.0],3
21165,[3.0],3
21166,[1.0],1
21167,[3.0],3
21168,[1.0],1
21169,[3.0],3
21170,[2.0],2
21171,[3.0],3
21172,[2.0],2
21173,[1.0],1
21174,[1.0],1
21175,[3.0],3
21176,[1.0],1
21177,[1.0],1
21178,[3.0],3
21179,[1.0],1
21180,[3.0],3
21181,[1.0],1
21182,[3.0],3
21183,[2.0],2
21184,[1.0],1
21185,[2.0],2
21186,[3.0],3
21187,[1.0],1
21188,[2.0],2
21189,[1.0],1
21190,[1.0],1
21191,[2.0],2
21192,[1.0],1
21193,[2.0],2
21194,[3.0],3
21195,[2.0],2
21196,[2.0],2
21197,[3.0],3
21198,[2.0],2
21199,[3.0],3
21200,[1.0],1
21201,[3.0],3
21202,[3.0],3
21203,[1.0],1
21204,[1.0],1
21205,[2.0],2
21206,[2.0],2
21207,[3.0],3
21208,[1.0],1
21209,[1.0],1
21210,[1.0],1
21211,[2.0],2
21212,[3.0],3
21213,[3.0],3
21214,[3.0],3
21215,[2.0],2
21216,[3.0],3
21217,[2.0],2
21218,[3.0],3
21219,[3.0],3
21220,[3.0],3
21221,[1.0],1
21222,[3.0],3
21223,[2.0],2
21224,[1.0],1
21225,[3.0],3
21226,[1.0],1
21227,[1.0],1
21228,[2.0],2
21229,[1.0],1
21230,[2.0],2
21231,[2.0],2
21232,[3.0],3
21233,[1.0],1
21234,[3.0],3
21235,[3.0],3
21236,[3.0],3
21237,[3.0],3
21238,[1.0],1
21239,[2.0],2
21240,[3.0],3
21241,[1.0],1
21242,[2.0],2
21243,[1.0],1
21244,[2.0],2
21245,[3.0],3
21246,[3.0],3
21247,[2.0],2
21248,[2.0],2
21249,[2.0],2
21250,[2.0],2
21251,[1.0],1
21252,[1.0],1
21253,[2.0],2
21254,[3.0],3
21255,[1.0],1
21256,[1.0],1
21257,[2.0],2
21258,[3.0],3
21259,[2.0],2
21260,[2.0],2
21261,[3.0],3
21262,[1.0],1
21263,[3.0],3
21264,[1.0],1
21265,[1.0],1
21266,[1.0],1
21267,[2.0],2
21268,[3.0],3
21269,[2.0],2
21270,[2.0],2
21271,[3.0],3
21272,[2.0],2
21273,[2.0],2
21274,[2.0],2
21275,[2.0],2
21276,[3.0],3
21277,[1.0],1
21278,[3.0],3
21279,[2.0],2
21280,[1.0],1
21281,[1.0],1
21282,[1.0],1
21283,[3.0],3
21284,[1.0],1
21285,[2.0],2
21286,[3.0],3
21287,[3.0],3
21288,[3.0],3
21289,[1.0],1
21290,[3.0],3
21291,[2.0],2
21292,[3.0],3
21293,[3.0],3
21294,[3.0],3
21295,[1.0],1
21296,[1.0],1
21297,[3.0],3
21298,[1.0],1
21299,[2.0],2
21300,[3.0],3
21301,[1.0],1
21302,[1.0],1
21303,[3.0],3
21304,[2.0],2
21305,[3.0],3
21306,[2.0],2
21307,[1.0],1
21308,[1.0],1
21309,[3.0],3
21310,[3.0],3
21311,[1.0],1
21312,[1.0],1
21313,[2.0],2
21314,[2.0],2
21315,[2.0],2
21316,[1.0],1
21317,[3.0],3
21318,[2.0],2
21319,[2.0],2
21320,[2.0],2
21321,[2.0],2
21322,[3.0],3
21323,[3.0],3
21324,[1.0],1
21325,[1.0],1
21326,[1.0],1
21327,[1.0],1
21328,[2.0],2
21329,[3.0],3
21330,[2.0],2
21331,[3.0],3
21332,[3.0],3
21333,[1.0],1
21334,[3.0],3
21335,[3.0],3
21336,[2.0],2
21337,[3.0],3
21338,[2.0],2
21339,[3.0],3
21340,[2.0],2
21341,[1.0],1
21342,[3.0],3
21343,[2.0],2
21344,[3.0],3
21345,[2.0],2
21346,[2.0],2
21347,[2.0],2
21348,[2.0],2
21349,[1.0],1
21350,[2.0],2
21351,[2.0],2
21352,[3.0],3
21353,[3.0],3
21354,[3.0],3
21355,[3.0],3
21356,[1.0],1
21357,[2.0],2
21358,[3.0],3
21359,[2.0],2
21360,[1.0],1
21361,[2.0],2
21362,[1.0],1
21363,[1.0],1
21364,[2.0],2
21365,[2.0],2
21366,[1.0],1
21367,[1.0],1
21368,[1.0],1
21369,[3.0],3
21370,[2.0],2
21371,[3.0],3
21372,[1.0],1
21373,[2.0],2
21374,[2.0],2
21375,[3.0],3
21376,[3.0],3
21377,[2.0],2
21378,[3.0],3
21379,[2.0],2
21380,[1.0],1
21381,[3.0],3
